Berufsbenennungen;KldB 2010 (5-Steller)
Korkmacher/in;22312
Korkmaschinenarbeiter/in (Korkmacher/in);22312
Trockenanlagenführer/in (Holztrocknung);22312
Bandsägenführer/in;22322
Facharbeiter/in - Anlagentechnik (Plattenwerkstoffe);22322
Facharbeiter/in - Holztechnik (Schnittholz und Holzwaren);22322
Facharbeiter/in - Holzwerkstoffe;22322
Furnierhersteller/in;22322
Furniermaschinenführer/in;22322
Furniersäger/in;22322
Furnierschäler/in;22322
Furnierzuschneider/in;22322
Gatterführer/in;22322
Gatterschneider/in;22322
Holzbearbeitungsmechaniker/in - Hobelindustrie;22322
Holzbearbeitungsmechaniker/in - Holzleimbauindustrie;22322
Holzbearbeitungsmechaniker/in - Holzwerkstoffindustrie;22322
Holzbearbeitungsmechaniker/in - Sägeindustrie;22322
Holzfertigteilbauer/in;22322
Holzmechaniker/in - Parkettindustrie;22322
Holzsäger/in;22322
Sägearbeiter/in (Holz);22322
Sägeführer/in;22322
Sägewerker/in;22322
Sägewerksarbeiter/in;22322
Sägewerksfacharbeiter/in;22322
Bilderrahmenmacher/in;22332
Fensterbauer/in;22332
Holzmechaniker/in - Bauzubehörindustrie;22332
Holzmechaniker/in - Holzpackmittel- und Palettenindustrie;22332
Holzmechaniker/in - Leisten- und Rahmenindustrie;22332
Packkistenmacher/in;22332
Palettenhersteller/in;22332
Rahmenmacher/in;22332
Spiegelrahmenmacher/in;22332
Holztechniker/in - Automatisierungstechnik;22333
Holzwarentechniker/in;22333
Techniker/in - Holztechnik (Automatisierungstechnik);22333
Antikschreiner/in;22342
Banktischler/in;22342
Bau- u. Möbeltischler/in;22342
Beizer/in und Polierer/in;22342
Betriebsschreiner/in;22342
Betriebstischler/in;22342
Bildeinfasser/in;22342
Bildeinrahmer/in;22342
Facharbeiter/in - Holztechnik (Gestellbau/-möbel);22342
Facharbeiter/in - Holztechnik (Ind. Möbelfertigung);22342
Facharbeiter/in - Holztechnik (Inneneinbau);22342
Facharbeiter/in - Holztechnik (Möbelbau);22342
Facharbeiter/in - Holztechnik (Oberflächenbearbeitung);22342
Facharbeiter/in - Holztechnik (Stuhlbau/Gestellbau);22342
Facharbeiter/in - Holztechnik (Tischler/in);22342
Fachkraft - Küchen- und Möbelservice;22342
Fachkraft - Küchenservice;22342
Fachkraft - Möbel-, Küchen- und Umzugsservice;22342
Fachkraft - Umzugsservice;22342
Furnierer/in;22342
Furniertischler/in;22342
Gehäusebauer/in;22342
Gehäusemacher/in;22342
Holzfacharbeiter/in - Möbel;22342
Holzgerätebauer/in;22342
Holzmechaniker/in - Bauelemente, Holzpackmittel und Rahmen;22342
Holzmechaniker/in - Möbel-,Gehäuse-,Innenausb.,Ladenbauind.;22342
Holzmechaniker/in - Möbelbau und Innenausbau;22342
Holzmechaniker/in - Sitzmöbel- und Gestellindustrie;22342
Holzmechaniker/in-Herst. v. Bauelement.,Holzpackm. u. Rahmen;22342
Holzmechaniker/in-Herstellen v. Möbeln u. Innenausbauteilen;22342
Holzmechaniker/in-Montier. v. Innenausbaut. u. Bauelementen;22342
Holzmosaikmacher/in (Tischlerei);22342
Industrieschreiner/in;22342
Industrietischler/in;22342
Innenausbauschreiner/in;22342
Intarsienschreiner/in;22342
Intarsientischler/in;22342
Kistentischler/in;22342
Klaviertischler/in;22342
Küchenmonteur/in;22342
Kundenberater/in - Schreinerhandwerk;22342
Kundenberater/in - Tischlerhandwerk;22342
Kunstmöbeltischler/in;22342
Kunstschreiner/in;22342
Kunsttischler/in;22342
Ladenbauer/in;22342
Leiterhersteller/in (Holz);22342
Lieferschreiner/in;22342
Möbel- u. Küchenaufbauer/in;22342
Möbel- und Bautischler/in;22342
Möbelmonteur/in;22342
Möbelschreiner/in;22342
Möbeltischler/in;22342
Oberflächenbearbeiter/in (Tischlerei);22342
Rahmenbauer/in;22342
Rahmer/in;22342
Reparaturtischler/in;22342
Sargschreiner/in;22342
Sargtischler/in;22342
Schreiner/in;22342
Sesselgestellmacher/in;22342
Sesselmacher/in (Tischlerei);22342
Sitzmöbelfacharbeiter/in;22342
Sitzmöbeltischler/in;22342
Stuhlbauer/in;22342
Stuhlgestellbauer/in;22342
Stuhlschreiner/in;22342
Stuhltischler/in;22342
Tischbauer/in;22342
Tischler/in;22342
Tischler/in - Bau- und Möbeltischler/in;22342
Tischler/in - Dekorationsbau;22342
Tischler/in - Dekorationsbauer/in;22342
Tischler/in - Möbeltischler/in;22342
Tischler/in - Rahmenbauer/in;22342
Tischler/in und Glaser/in;22342
Tischlerfachwerker/in (§66 BBiG/§42m HWO);22342
Uhrengehäusemacher/in;22342
Werkstischler/in;22342
Dipl.-Ing. (FH) - Holzbau und Ausbau;22343
Fenster- und Türentechniker/in (Holz);22343
Holzbautechniker/in;22343
Holzmöbelrestaurator/in;22343
Holzrestaurator/in;22343
Holztechniker/in - Möbelbau und Raumgestaltung;22343
Ingenieur/in Holztechnik (FS) - Möbel und Bauelemente;22343
Innenausbautechniker/in;22343
Ladenbautechniker/in;22343
Möbelbau- und Raumgestaltungstechniker/in;22343
Möbelrestaurator/in;22343
Möbeltechniker/in;22343
Restaurator/in - Holzmöbel;22343
Restaurator/in - Möbel und Holzobjekte/B. Prof. Technik;22343
Restaurator/in - Tischlerhandwerk/M. Prof. Restaurierung;22343
Techniker/in - Holzerzeugniskonstruktion;22343
Techniker/in - Holztechnik (Fensterbau);22343
Techniker/in - Holztechnik (Holzbau);22343
Techniker/in - Holztechnik (Innenausbau);22343
Techniker/in - Holztechnik (Möbelb/Raumges)/B. Prof. Technik;22343
Techniker/in - Möbel, Bauelemente und Kulturwaren;22343
Techniker/in - Möbelbau;22343
Tischler/in - Restaurierungsarbeiten;22343
Besenbinder/in;22352
Besenmacher/in;22352
Borstpinselmacher/in;22352
Bürsten- u. Pinselfacharbeiter/in;22352
Bürsten- und Pinselmacher/in;22352
Bürsten- und Pinselmacher/in - Bürstenherstellung;22352
Bürsten- und Pinselmacher/in - Herstellen von Bürsten;22352
Bürsten- und Pinselmacher/in - Herstellen von Pinseln;22352
Bürsten- und Pinselmacher/in - Pinselherstellung;22352
Bürsten- und Pinselmacher/in (mit Fachrichtungen);22352
Bürstenbinder/in;22352
Bürsteneinzieher/in;22352
Bürstenhersteller/in;22352
Bürstenmacher/in;22352
Facharbeiter/in - Anlagentechnik (Bürstenwaren);22352
Flechtwarenmacher/in;22352
Flechtwerkgestalter/in;22352
Flechtwerkgestalter/in - Flechtmöbel;22352
Flechtwerkgestalter/in - Flechtobjekte;22352
Flechtwerkgestalter/in - Korbwaren;22352
Korb- und Flechtwerker/in (§66 BBiG/§42m HWO);22352
Korb- und Möbelflechter/in;22352
Korbflechter/in;22352
Korbmacher/in;22352
Korbmacher/in - Korbmöbelbau;22352
Korbmacher/in - Korbwarenherstellung;22352
Korbmöbelflechter/in;22352
Korbwarenmacher/in;22352
Möbelflechter/in;22352
Oberflächenbehandler/in (Korbwarenherstellung);22352
Pinselhersteller/in;22352
Pinselmacher/in;22352
Stroh- u. Rohrflechter/in;22352
Strohwarenflechter/in;22352
Stuhlflechter/in;22352
Böttcher/in;22382
Büttner/in;22382
Facharbeiter/in - Holztechnik (Böttcher/in);22382
Fahrzeugstellmacher/in;22382
Fassbinder/in;22382
Fassmacher/in;22382
Felgenmacher/in (Holz);22382
Gestellbauer/in (Wagner/in);22382
Gestellmacher/in (Fahrzeug);22382
Großwagner/in;22382
Holzkarosseriebauer/in;22382
Holzküfer/in;22382
Karrenmacher/in;22382
Knopfmacher/in;22382
Kübelmacher/in;22382
Kübler/in;22382
Küfer/in;22382
Kutschenmacher/in;22382
Personenwagenstellmacher/in;22382
Schäffler/in;22382
Schwarzböttcher/in;22382
Schwarzbüttner/in;22382
Stellmacher/in;22382
Tischler/in - Böttcher/in;22382
Tischler/in - Böttcherei;22382
Tischler/in - Stellmacher/in;22382
Wagner/in;22382
Weißbinder/in (Böttcher/in);22382
Bau- u. Möbeltischlermeister/in;22393
Betriebsmanager/in - Bau- und Holztechnik;22393
Betriebswirt/in (Fachschule) - Holz;22393
Böttchermeister/in/B. Prof. Böttcher-Handwerk;22393
Bürsten-/Pinselmachermeister/in/B. Prof. Bürsten-/Pinsel-Hw.;22393
Büttnermeister/in;22393
Fachwirt/in - Holzindustrie und Holzhandel;22393
Fertigungsplaner/in - Schreinerhandwerk;22393
Fertigungsplaner/in - Tischlerhandwerk;22393
Holzbaumeister/in;22393
Holzbetriebswirt/in (staatl.gepr. );22393
Holzkarosseriebaumeister/in;22393
Holztechnikmeister/in;22393
Industriemeister/in - Holz/B. Prof. Holztechnik;22393
Industriemeister/in - Holzbearbeitung;22393
Industriemeister/in - Holzverarbeitung;22393
Industriemeister/in - Sägeindustrie;22393
Industriemeister/in - Sägewerker;22393
Korb-/Flechtwerkgestaltermeister/in/B. Prof. Korb/Flecht.Hw.;22393
Korbflechtermeister/in;22393
Korbmachermeister/in;22393
Küpermeister/in (Böttcherhandwerk);22393
Meister/in - Bau- und Möbeltischlerhandwerk;22393
Meister/in - Böttcherhandwerk;22393
Meister/in - Bürsten- und Pinselmacherhandwerk;22393
Meister/in - Holz;22393
Meister/in - Holzbau;22393
Meister/in - Holzindustrie;22393
Meister/in - Holztechnik;22393
Meister/in - Holzverarbeitendes Handwerk;22393
Meister/in - Karosseriebau (Holz);22393
Meister/in - Korbmacherhandwerk;22393
Meister/in - Möbel-, Küchen- und Umzugsservice;22393
Meister/in - Tischlerhandwerk;22393
Möbeltischlermeister/in;22393
Montageleiter/in (Bauzubehörindustrie);22393
Montageleiter/in (Möbel);22393
Montageleiter/in (Parkettindustrie);22393
Rahmenbauermeister/in;22393
Sägewerksmeister/in;22393
Schäfflermeister/in;22393
Schreinermeister/in;22393
Stellmachermeister/in;22393
Technische/r Fachwirt/in - Holztechnik;22393
Tischlermeister/in/B. Prof. Tischler-Handwerk;22393
Wagnermeister/in;22393
Werkmeister/in (Böttcherei, Behälterbau);22393
Werkstattleiter/in (Korb- und Rohrmöbelbau);22393
Werkstattleiter/in (Korbmacherei);22393
Dipl.-Holzwirt/in (Uni);22394
Fertigungsleiter/in (Bauzubehörindustrie);22394
Fertigungsleiter/in (Holzpackmittel-/Palettenindustrie);22394
Fertigungsleiter/in (Sitzmöbel-/Gestellindustrie);22394
Holzwirt/in;22394
Sägewerksleiter/in;22394
Faltschachtelmaschinenarbeiter/in;23101
Helfer/in - Papier, Druck;23101
Helfer/in - Papier, Verpackung;23101
Helfer/in - Papierherstellung;23101
Helfer/in - Papierverarbeitung;23101
Holländergehilfe/-gehilfin (Papier-, Zellstoffherstellung);23101
Kartonagenmaschinenarbeiter/in;23101
Kartonagenzuschneider/in;23101
Kuvertmaschinenarbeiter/in;23101
Kuvertstanzer/in;23101
Papier- und Zellstoffherstellerhelfer/in;23101
Papierherstellerhelfer/in;23101
Papiersortierer/in;23101
Papierverarbeitungshelfer/in;23101
Pappenkollergangsarbeiter/in;23101
Pappmaschinengehilfe/-gehilfin;23101
Pressergehilfe/-gehilfin (Papier-, Zellstoffherstellung);23101
Reißwolfarbeiter/in (Papiermacherhelfer/in);23101
Rollapparatgehilfe/-gehilfin (Papierausrüstung);23101
Rollmaschinengehilfe/-gehilfin;23101
Rotationsroller/in;23101
Rundsiebmaschinengehilfe/-gehilfin;23101
Trockenmaschinengehilfe/-gehilfin (Papier-, Zellstoffherst.);23101
Umrollergehilfe/-gehilfin (Papierausrüstung);23101
Verpackungsmittelherstellerhelfer/in;23101
Vorroller/in (Papierausrüstung);23101
Altpapierzerfaserer/-zerfaserin;23112
Anlagenführer/in - Ganzstoffherstellung;23112
Bogenkalanderführer/in;23112
Bogenschneidemaschinenführer/in;23112
Büttenpapiermacher/in;23112
Büttgesell(e/in) Papier-, Zellstoffherstellung;23112
Facharbeiter/in - Anlagentechnik (Papier, Karton, Pappe);23112
Facharbeiter/in - Papiererzeugung;23112
Facharbeiter/in - Zellstofferzeugung;23112
Ganzstoffzubereiter/in;23112
Häckselschneider/in;23112
Halbzeugmüller/in;23112
Handpapierschöpfer/in;23112
Holländermüller/in (Papier-, Zellstoffherstellung);23112
Laborfachkraft (Papier-, Zellstoffindustrie);23112
Langsiebmaschinenführer/in (Papier-, Zellstoffherstellung);23112
Papierausrüster/in;23112
Papierblattmacher/in;23112
Papierbreizubereiter/in;23112
Papierfacharbeiter/in;23112
Papierfärber/in;23112
Papierhersteller/in;23112
Papierholländermüller/in;23112
Papierkalanderführer/in;23112
Papiermacher/in - Ganzstoffherstellung;23112
Papiermacher/in - Papier-Karton-Pappe;23112
Papiermacher/in - Zellstoff;23112
Papiermaschinenführer/in;23112
Papierrohstoffaufbereiter/in;23112
Papiertechnologe/-technologin;23112
Papiertechnologe/-technologin - Papier-Karton-Pappe;23112
Papiertechnologe/-technologin - Zellstoff;23112
Papiertechnologe/-technologin (mit Fachrichtungen);23112
Pappe-, Kartonmacher/in;23112
Pappenglätter/in;23112
Pappensatinierer/in;23112
Pappmaschinenführer/in;23112
Rohpappenholländermüller/in;23112
Satinierer/in (Papierherstellung);23112
Säurebadarbeiter/in (Papier-, Zellstoffhersteller/in);23112
Schöpfer, Papierblattmacher/in;23112
Schöpfpapiermaschinenführer/in;23112
Siebmaschinenführer/in (Papier-, Zellstoffherstellung);23112
Stoffaufbereiter/in (Papier-, Zellstoffherstellung);23112
Streichmaschinenführer/in - Papierherstellung;23112
Trockenmaschinenführer/in (Papier-, Zellstoffherstellung);23112
Wellpappemaschinenführer/in;23112
Zellstoffentwässerungsmaschinenführer/in;23112
Zellstoffprüfer/in;23112
Dipl.-Ing. (BA) - Papiertechnik;23113
Ingenieur/in (FS) - Zellstoff- und Papiertechnik;23113
Papiertechniker/in - alle Fachrichtungen;23113
Techniker/in - Papiertechnik (Zellstoff-, Papiererzeugung);23113
Techniker/in - Papiertechnik/B. Prof. Technik;23113
Techniker/in - Zellstoff- und Papiertechnik;23113
Dipl.-Ing. (Uni) - Maschinenbau (Papieringenieurwesen);23114
Dipl.-Ing. (Uni) - Verarb./Verfahrenstech. (Papiertechnik);23114
Ingenieur/in - Papiertechnik;23114
Papieringenieur/in;23114
Attrappenmacher/in;23122
Bitumiermaschinenführer/in;23122
Displayhersteller/in (Verpackungsmittelherstellung);23122
Etuimacher/in;23122
Facharbeiter/in - Anlagentechnik (Konfektion. Verpackung);23122
Facharbeiter/in - Anlagentechnik (Verpackungsmittel);23122
Facharbeiter/in - Papierverarbeitung;23122
Faltschachtelmacher/in;23122
Feinkartonagen-, Etuimacher/in (nicht Leder);23122
Feinkartonagenmacher/in;23122
Futteralmacher/in;23122
Kartonagenfachmann/-frau;23122
Kartonagenhersteller/in;23122
Kartonagenmacher/in;23122
Kartonagenmustermacher/in;23122
Kartonnieter/in;23122
Kartonschirmnäher/in;23122
Kassettenmacher/in;23122
Klebstoffzubereiter/in (Verpackungsmittelherstellung);23122
Krepprollenmacher/in;23122
Maschinen- und Anlagenführer/in - Druckweiter-,Papierverarb.;23122
Maskenmacher/in (Papier, Pappe);23122
Packmitteltechnologe/-technologin;23122
Papierausstatter/in;23122
Papierballonmacher/in;23122
Papierbeschichtungsmaschinenführer/in;23122
Papierblumenmacher/in;23122
Papierformenmacher/in;23122
Papierlampenschirmmacher/in;23122
Papierlaternenmacher/in;23122
Papiermacheformer/in;23122
Papiernäher/in;23122
Papierpresser/in;23122
Papierschablonenmacher/in;23122
Papierschneidemaschinenführer/in;23122
Papierspitzenmacher/in;23122
Papierstanzer/in;23122
Papierverarbeiter/in;23122
Papierveredler/in;23122
Papierwarenhersteller/in;23122
Papierzuschneider/in;23122
Pappsohlenmacher/in;23122
Pappwarenhersteller/in;23122
Passepartoutschneider/in;23122
Planschneider/in;23122
Rollenschneider/in (Papierverarbeitung);23122
Sandpapiermacher/in;23122
Schleifpapierfertiger/in;23122
Schmirgelpapiermacher/in;23122
Spielkartenfertiger/in;23122
Verpackungsmittelhersteller/in;23122
Verpackungsmittelmaschinenführer/in;23122
Verpackungsmittelmechaniker/in;23122
Verpackungstechnologe/-technologin;23122
Wachspapiermacher/in;23122
Ingenieur/in (FS) - Papierverarbeitungstechnik;23123
Ingenieur/in (FS) - Verpackungstechnik;23123
Lebensmitteltechniker/in - Lebensmittelverpackung;23123
Lebensmittelverpackungstechniker/in;23123
Mustermacher/in (Verpackungsmittelherstellung);23123
Papierrestaurator/in;23123
Papierverarbeitungstechniker/in;23123
Techniker/in - Lebensmittelt. (Leben.verp.)/B. Prof. Technik;23123
Techniker/in - Lebensmittelverpackung;23123
Techniker/in - Papiertechnik (Papierverarbeitung);23123
Techniker/in - Papiertechnik (Verpackungstechnik);23123
Techniker/in - Verpackungstechnik;23123
Verpackungsberater/in;23123
Verpackungsdesigner/in;23123
Verpackungsplaner/in;23123
Dipl.-Ing. (FH) - Verpackungstechnik;23124
Ingenieur/in - Papier- und Kunststoffverarbeitung;23124
Ingenieur/in - Verpackungstechnik;23124
Verpackungsentwickler/in;23124
Verpackungsingenieur/in;23124
Industriemeister/in - Papier;23193
Industriemeister/in - Papier- und Kunststoffverarbeitung;23193
Industriemeister/in - Papier- und Pappeverarbeitung;23193
Industriemeister/in - Papiererzeugung;23193
Industriemeister/in - Papierverarbeitung;23193
Kalandermeister/in;23193
Meister/in - Papiererzeugung;23193
Meister/in - Papierverarbeitung;23193
Meister/in - Verpackungstechnik;23193
Meister/in - Zellstoff-, Papier- und Verpackungstechnik;23193
Papiererzeugungsmeister/in;23193
Papiermachermeister/in;23193
Papierverarbeitungsmeister/in;23193
Verpackungsleiter/in;23193
Werkführer/in (Papier-, Zellstoffherstellung);23193
Akzidenzsetzer/in;23212
Akzidenzstereotypeur/in;23212
Anzeigensetzer/in;23212
Assistent/in - Gestaltungstechnik;23212
Ätzer/in (Druckformen);23212
Bildschirmsetzer/in;23212
Blindenschriftsetzer/in;23212
Dekorvorlagenhersteller/in;23212
Druckereirevisor/in;23212
Druckformhersteller/in;23212
Druckgestalter/in;23212
Druckstereotypeur/in;23212
Druckstockhersteller/in;23212
Druckvorlagenhersteller/in;23212
Druckvorlagenhersteller/in - Reprofotografie;23212
Druckvorlagenhersteller/in - Reproretusche;23212
Druckvorlagenhersteller/in - Reprovorbereitung;23212
DTP-Fachkraft;23212
DTP-Operator/in;23212
Duplexätzer/in;23212
EBV-Operator/in;23212
Etikettenzeichner/in;23212
Facharbeiter/in - Druckformenherstellung;23212
Facharbeiter/in - Druckformenherstellung (Akzidenzsatz);23212
Facharbeiter/in - Druckformenherstellung (Duplikate erst.);23212
Facharbeiter/in - Druckformenherstellung (Hochdruck);23212
Facharbeiter/in - Druckformenherstellung (Lochbänder herst.);23212
Facharbeiter/in - Druckformenherstellung (Noten stechen);23212
Facharbeiter/in - Druckformenherstellung (Offsetdruck);23212
Facharbeiter/in - Druckformenherstellung (Schriftschneiden);23212
Facharbeiter/in - Druckformenherstellung (Seiten und Bogen);23212
Facharbeiter/in - Druckformenherstellung (Tiefdruck);23212
Facharbeiter/in - Druckformenherstellung (Werksatz);23212
Facharbeiter/in - Druckformenherstellung (Zeitungssatz umbr);23212
Facharbeiter/in - Druckformherstellung (Druckplattenherst.);23212
Facharbeiter/in - Reproduktionstechnik;23212
Facharbeiter/in - Reproduktionstechnik (Komplettierung);23212
Facharbeiter/in - Reproduktionstechnik (Offsetretuscheur/in);23212
Facharbeiter/in - Reproduktionstechnik (Repro-Fotografie);23212
Facharbeiter/in - Reproduktionstechnik (Repro-Retusche);23212
Facharbeiter/in - Reproduktionstechnik (Schriftretusche);23212
Facharbeiter/in - Reproduktionstechnik (Tiefdruckätzer/in);23212
Facharbeiter/in - Reproduktionstechnik (Tiefdruckretusche);23212
Facharbeiter/in - Reproduktionstechnik (Vorlagenretusche);23212
Facharbeiter/in - Satztechnik;23212
Facharbeiter/in - Satztechnik (Akzidenzsatz);23212
Facharbeiter/in - Satztechnik (Datenträgerherstellung);23212
Facharbeiter/in - Satztechnik (Lichtsatz);23212
Facharbeiter/in - Satztechnik (Lichtsatzverarbeitung);23212
Facharbeiter/in - Satztechnik (Metallsatz);23212
Facharbeiter/in - Satztechnik (Metallsatzverarbeitung);23212
Facharbeiter/in - Satztechnik (Notenherstellen);23212
Facharbeiter/in - Satztechnik (Notenstechen);23212
Facharbeiter/in - Satztechnik (Seitenmontage);23212
Facharbeiter/in - Satztechnik (Werksatz);23212
Facharbeiter/in - Satztechnik (Zeilengussmaschinensatz);23212
Facharbeiter/in - Satztechnik (Zeitungsumbruch);23212
Facharbeiter/in -Reproduktionstechnik (Positivretuscheur/in);23212
Farblithograf/in;23212
Federlithograf/in;23212
Filmsatz-Operator/in;23212
Formstecher/in;23212
Fotochemigraf/in;23212
Fotogalvanograf/in;23212
Fotogravurzeichner/in;23212
Fotolithograf/in;23212
Fotosatzmontierer/in;23212
Fotosetzer/in;23212
Gestalter/in für immersive Medien;23212
Gestaltungstechnische/r Assistent/in;23212
Gestaltungstechnische/r Assistent/in - Medien/Kommunikation;23212
Gestaltungstechnische/r Assistent/in - Screen-Design;23212
Graveur/in - Formenstecher/in;23212
Handsetzer/in;23212
Inseratensetzer/in;23212
Intertypesetzer/in;23212
Keramiklithograf/in;23212
Keramikretuscheur/in;23212
Klischeehersteller/in;23212
Korrekturlithograf/in;23212
Kreidelithograf/in;23212
Kunststoffstereotypeur/in;23212
Laserdruck-Operator/in (Druckvorlagenherstellung);23212
Lichtdruckretuscheur/in;23212
Lichtsetzer/in;23212
Maschinenkopierer/in;23212
Maschinensetzer/in;23212
Mediengestalter/in - Digital-/Printmedien - Mediendesign;23212
Mediengestalter/in - Digital-/Printmedien - Medienoperating;23212
Mediengestalter/in - Digital-/Printmedien - Medientechnik;23212
Mediengestalter/in Digital und Print - Designkonzeption;23212
Mediengestalter/in Digital und Print - Digitalmedien;23212
Mediengestalter/in Digital und Print - Gestaltung u. Technik;23212
Mediengestalter/in Digital und Print - Konzept. u. Visualis.;23212
Mediengestalter/in Digital und Print - Printmedien;23212
Mediengestalter/in Digital und Print - Projektmanagement;23212
Medienoperator/in;23212
Medienvorlagenhersteller/in;23212
Metteur/in;23212
Mikrofilmoperator/in;23212
Mikrograf/in;23212
Monosetzer/in;23212
Montierer/in - Druckformherstellung;23212
Notenkopist/in;23212
Notenlithograf/in;23212
Notensetzer/in;23212
Notenstecher/in;23212
Positivretuscheur/in;23212
Punktschriftsetzer/in für Braille-Texte;23212
Rasterätzer/in;23212
Rastersetzer/in;23212
Repro-Bogenmontierer/in;23212
Reprochemigraf/in;23212
Reproduktionsfotograf/in;23212
Reprofotograf/in;23212
Reprograf/in - Mikrografie;23212
Reprograf/in - Reprografie;23212
Reprohersteller/in - Druckformtechnik;23212
Reprohersteller/in - Reproduktionstechnik;23212
Reprokopierer/in;23212
Reprolithograf/in;23212
Reproretuscheur/in;23212
Reprovorbereiter/in;23212
Retuscheur/in (Reprografie);23212
Rotationsstereotypeur/in;23212
Scanner-Operator/in;23212
Schablonenhersteller/in;23212
Schriftlithograf/in;23212
Schriftsetzer/in;23212
Schriftsetzer/in - Montagetechnik;23212
Schriftsetzer/in - Systemtechnik;23212
Seitenmontierer/in;23212
Siebdruckmontierer/in;23212
Siebdruckschablonenzeichner/in;23212
Spezialsetzer/in;23212
Stahlrollenstecher/in;23212
Stempelsetzer/in;23212
Strichätzer/in;23212
Textmontierer/in;23212
Tiefdruckkopierer/in;23212
Tiefdruckretuscheur/in;23212
Tiefdruckzylinderhersteller/in;23212
Titelsetzer/in;23212
Typografmaschinensetzer/in;23212
Vorlagenhersteller/in;23212
Vorlagenretuscheur/in;23212
Werbe- u. Medienvorlagenhersteller/in - Gestaltung;23212
Werbe- u. Medienvorlagenhersteller/in - Medienoperating;23212
Werbevorlagenhersteller/in;23212
Werksetzer/in;23212
Werkstereotypeur/in;23212
Zeitschriftensetzer/in;23212
Zeitungsmetteur/in;23212
Zeitungssetzer/in;23212
Zinkretuscheur/in;23212
Buchgestalter/in;23213
Desktop-Publisher;23213
DTP-Layouter/in;23213
Farbdesigner/in;23213
Gestalter/in - Mediengestaltung;23213
Gestalter/in - Werbe- u. Mediengestalt./B. Prof. Gestaltung;23213
Gestalter/in - Werbegestaltung;23213
Medienproduktioner/in;23213
Produktioner/in - Medien;23213
Typogestalter/in;23213
Verlagshersteller/in;23213
Visuelle/r Designer/in digital und print;23213
Werbe- und Mediengestalter/in;23213
Werbemittelgestalter/in;23213
Assistent/in - Design und visuelle Kommunikation;23222
Assistent/in - Fotodesign;23222
Assistent/in - Grafik-Design;23222
Assistent/in - Screen Design;23222
Designer/in (Ausbildung) - Grafik;23222
Designer/in (Ausbildung) - Kommunikationsdesign;23222
Designer/in (Ausbildung) - Medien;23222
Fachkraft - multimediale Kommunikation und Präsentation;23222
Fotodesignassistent/in;23222
Fotodesigner/in (Berufsfachschule);23222
Gestaltungstechnische/r Assistent/in - Grafik;23222
Graf. Zeichner/in - Gebrauchsgrafik;23222
Grafikdesigner/in (Berufsfachschule);23222
Kommunikationsdesigner/in (Berufsfachschule);23222
Mediendesigner/in (Berufsfachschule);23222
Reklamezeichner/in;23222
Technische/r Illustrator/in;23222
Werbezeichner/in;23222
3-D-Designer/in;23223
Computerspielegestalter/in;23223
Computervisualist/in;23223
Designer/in (Fachschule) - Informationsdesign;23223
Designer/in (staatl.gepr.) - Farbe,Gestaltung,Werbung;23223
Designer/in (Werbung);23223
Dipl.-Mediendesigner/in (BA);23223
Flash-Designer/in;23223
Fotografiker/in;23223
Game Artist;23223
Gamedesigner/in;23223
Games Level Designer/in;23223
Gebrauchsgrafiker/in;23223
Gestalter/in - Design und visuelle Kommunikation;23223
Gestalter/in - Grafikdesign;23223
Gestalter/in - Kommunikationsdesign;23223
Gestalter/in - Mediendesign;23223
Grafikdesigner/in;23223
Grafikgestalter/in;23223
Information-Architect;23223
Informationsdesigner/in - DTP und Multimedia;23223
Internet-Designer/in;23223
Kommunikationsgestalter/in;23223
Layoutgrafiker/in;23223
Level Designer/in;23223
Mediadesigner/in (Web-Design);23223
Mediendesigner/in (BA) - Webdesign;23223
Modegrafiker/in;23223
Modezeichner/in;23223
Multimedia-Designer/in;23223
Multimediagestalter/in;23223
Multimedia-Grafiker/in;23223
Multimedia-Konzepter/in;23223
Multimedia-Konzeptionist/in;23223
Multimedia-Publisher;23223
Online-Designer/in;23223
Spieleentwickler/in;23223
Spieleerfinder/in;23223
Spielegestalter/in;23223
Technische/r Grafiker/in;23223
UX-Designer/in;23223
Virtual/Augmented Reality-Entwickler/in;23223
Webdesigner/in;23223
Web-Gestalter/in;23223
Werbe- und Kommunikationsgrafiker/in;23223
Werbegrafiker/in;23223
3-D-Artist;23224
AV-Mediendesigner/in;23224
Computergrafiker/in;23224
Designer/in (Hochschule) - Fotodesign;23224
Designer/in (Hochschule) - Grafikdesign;23224
Designer/in (Hochschule) - Kommunikationsdesign;23224
Designer/in (Hochschule) - Mediendesign;23224
Digital-Media-Designer/in (DMD);23224
Dipl.-Designer/in (FH) - Foto;23224
Dipl.-Designer/in (FH) - Media System;23224
Dipl.-Designer/in (FH/Uni) - Grafik;23224
Dipl.-Designer/in/Dipl.-Gestalter/in (FH/Uni) - Medien;23224
Diplombuchgestalter/in (Uni);23224
Diplom-Designer/in (FH/Uni) - Multim./Virt. Realität-Design;23224
Diplomfotografiker/in (Uni);23224
Diplomgebrauchsgrafiker/in (Uni);23224
Diplommaler/in/Diplomgrafiker/in (Uni);23224
Displaydesigner/in;23224
Fernsehdesigner/in;23224
Film- und Kommunikationsdesigner/in;23224
Filmdesigner/in;23224
Grafik- und Kommunikationsdesigner/in;23224
Grafikdesigner/in (Hochschule);23224
Grafik-Kommunikationsdesigner/in;23224
Illustrationsdesigner/in;23224
Interfacedesigner/in;23224
